ClientID,Consumer_Category
MT_283,Medium
MT_284,Medium
MT_285,Medium
MT_286,Medium
MT_287,Medium
MT_288,Medium
MT_289,Medium
MT_290,Heavy
MT_291,Medium
MT_292,Medium
MT_293,Medium
MT_294,Heavy
MT_295,Medium
MT_296,Medium
MT_297,Medium
MT_298,Heavy
MT_299,Heavy
MT_300,Medium
MT_301,Medium
MT_302,Medium
MT_303,Medium
MT_304,Medium
MT_305,Medium
MT_306,Medium
MT_307,Heavy
MT_308,Medium
MT_309,Medium
MT_310,Heavy
MT_311,Medium
MT_312,Medium
MT_313,Medium
MT_314,Heavy
MT_315,Medium
MT_316,Medium
MT_317,Heavy
MT_318,Medium
MT_319,Medium
MT_320,Medium
MT_321,Medium
MT_322,Medium
MT_323,Heavy
MT_324,Medium
MT_325,Medium
MT_326,Medium
MT_327,Heavy
MT_328,Heavy
MT_329,Medium
MT_330,Medium
MT_331,Medium
MT_332,Light
MT_333,Medium
MT_334,Medium
MT_335,Medium
MT_336,Medium
MT_337,Medium
MT_338,Medium
MT_339,Heavy
MT_340,Medium
MT_341,Heavy
MT_342,Medium
MT_343,Medium
MT_344,Medium
MT_345,Heavy
MT_346,Medium
MT_347,Light
MT_348,Light
MT_349,Medium
MT_350,Heavy
MT_351,Heavy
MT_352,Medium
MT_353,Heavy
MT_354,Medium
MT_355,Heavy
MT_356,Medium
MT_357,Heavy
MT_358,Heavy
MT_359,Medium
MT_360,Heavy
MT_361,Medium
MT_362,Heavy
MT_363,Heavy
MT_364,Heavy
MT_365,Medium
MT_366,Light
MT_367,Heavy
MT_368,Medium
MT_369,Heavy
MT_370,Heavy
