ClientID,Consumer_Category
MT_335,Light
MT_336,Medium
MT_337,Light
MT_338,Medium
MT_339,Mega
MT_340,Medium
MT_341,Heavy
MT_342,Medium
MT_343,Medium
MT_344,Medium
MT_345,Mega
MT_346,Medium
MT_347,Micro
MT_348,Micro
MT_349,Medium
MT_350,Heavy
MT_351,Mega
MT_352,Medium
MT_353,Heavy
MT_354,Medium
MT_355,Heavy
MT_356,Medium
MT_357,Mega
MT_358,Heavy
MT_359,Medium
MT_360,Heavy
MT_361,Medium
MT_362,Mega
MT_363,Mega
MT_364,Mega
MT_365,Medium
MT_366,Micro
MT_367,Heavy
MT_368,Medium
MT_369,Heavy
MT_370,Mega
